index,iso3_o,iso3_d,tradeflow,year,gdp_o,gdp_d,dist,tradevalue
2538,BGD,ITA,1,2004,56560742.4,1799204110.336,7321.0,152124.66161003103
2539,BGD,ITA,1,2005,60277559.296,1853465952.256,7321.0,196642.43022490083
2540,BGD,ITA,1,2006,71819091.968,1943430758.4,7321.0,202621.9744774457
2541,BGD,ITA,1,2007,79611887.616,2203972534.272,7321.0,248636.21803351422
2542,BGD,ITA,1,2008,91631280.128,2391963598.848,7321.0,295692.9874586165
2543,BGD,ITA,1,2009,102477791.232,2186107551.744,7321.0,231063.05451116804
2544,BGD,ITA,1,2010,115279077.376,2126620393.472,7321.0,313214.1927915168
2545,BGD,ITA,1,2011,128637935.616,2278230327.296,7321.0,334854.23720573424
2546,BGD,ITA,1,2012,133355741.184,2091760746.496,7321.0,301107.04061441054
2547,BGD,ITA,1,2013,149990457.344,2149484462.08,7321.0,330158.48240027484
2548,BGD,ITA,1,2015,195078553.6,1824902217.728,7321.0,464476.0401940003
2549,BGD,ITA,2,1998,44091752.448,1266790432.768,7321.0,272555.82982724905
2550,BGD,ITA,2,2000,47124926.464,1142213967.872,7321.0,242065.62231521215
2551,BGD,ITA,2,2001,46987841.536,1162784800.768,7321.0,226803.68476492344
2552,BGD,ITA,2,2002,47571128.32,1267043139.584,7321.0,190392.69393388185
2553,BGD,ITA,2,2003,51913662.464,1570330640.384,7321.0,258775.2879148074
2554,BGD,ITA,2,2004,56560742.4,1799204110.336,7321.0,356261.96748366766
2555,BGD,ITA,2,2005,60277559.296,1853465952.256,7321.0,372682.5359255243
2556,BGD,ITA,2,2006,71819091.968,1943430758.4,7321.0,476078.5733826812
2557,BGD,ITA,2,2007,79611887.616,2203972534.272,7321.0,529288.200428484
2558,BGD,ITA,2,2008,91631280.128,2391963598.848,7321.0,583651.5967742736
2559,BGD,ITA,2,2009,102477791.232,2186107551.744,7321.0,593589.8791119289
2560,BGD,ITA,2,2010,115279077.376,2126620393.472,7321.0,716987.622089548
2561,BGD,ITA,2,2011,128637935.616,2278230327.296,7321.0,990280.3124602474
2562,BGD,ITA,2,2012,133355741.184,2091760746.496,7321.0,922486.8009544248
2563,BGD,ITA,2,2013,149990457.344,2149484462.08,7321.0,977745.2069389601
2564,BGD,ITA,2,2015,195078553.6,1824902217.728,7321.0,1353674.2598948528
2627,BGD,JPN,1,1998,44091752.448,3914574856.192,4897.0,478617.7826257944
2628,BGD,JPN,1,2000,47124926.464,4731198504.96,4897.0,561596.7412924746
2629,BGD,JPN,1,2001,46987841.536,4159859851.264,4897.0,585578.9798439249
2630,BGD,JPN,1,2002,47571128.32,3980819431.424,4897.0,492016.7835992995
2631,BGD,JPN,1,2003,51913662.464,4302939095.04,4897.0,580499.4375675644
2632,BGD,JPN,1,2004,56560742.4,4655803269.12,4897.0,1095967.327097862
2633,BGD,JPN,1,2005,60277559.296,4571866857.472,4897.0,746787.1614158665
2634,BGD,JPN,1,2006,71819091.968,4356749656.064,4897.0,888380.2278396719
2635,BGD,JPN,1,2007,79611887.616,4356346740.736,4897.0,876927.8835344515
2636,BGD,JPN,1,2008,91631280.128,4849184800.768,4897.0,1221823.9379680308
2637,BGD,JPN,1,2009,102477791.232,5035142414.336,4897.0,1259175.0575707522
2638,BGD,JPN,1,2010,115279077.376,5495387062.272,4897.0,1331959.7858683402
2639,BGD,JPN,1,2011,128637935.616,5905630887.936,4897.0,970249.5759842353
2640,BGD,JPN,1,2012,133355741.184,5954476703.744,4897.0,1661943.3333007635
2641,BGD,JPN,1,2013,149990457.344,4919563124.736,4897.0,1376655.2073291317
2642,BGD,JPN,1,2015,195078553.6,4383076253.696,4897.0,1704503.9438341917
2643,BGD,JPN,2,1998,44091752.448,3914574856.192,4897.0,123437.14403241873
2644,BGD,JPN,2,2000,47124926.464,4731198504.96,4897.0,87274.1718197614
2645,BGD,JPN,2,2001,46987841.536,4159859851.264,4897.0,89518.17864188552
2646,BGD,JPN,2,2002,47571128.32,3980819431.424,4897.0,85831.5629767701
2647,BGD,JPN,2,2003,51913662.464,4302939095.04,4897.0,114854.00889897626
2648,BGD,JPN,2,2004,56560742.4,4655803269.12,4897.0,121528.81728752982
2649,BGD,JPN,2,2005,60277559.296,4571866857.472,4897.0,122153.33050491451
2650,BGD,JPN,2,2006,71819091.968,4356749656.064,4897.0,133103.0462875506
2651,BGD,JPN,2,2007,79611887.616,4356346740.736,4897.0,159927.79725301266
2652,BGD,JPN,2,2008,91631280.128,4849184800.768,4897.0,172384.31503599696
2653,BGD,JPN,2,2009,102477791.232,5035142414.336,4897.0,267908.6408421318
2654,BGD,JPN,2,2010,115279077.376,5495387062.272,4897.0,374739.86038566375
2655,BGD,JPN,2,2011,128637935.616,5905630887.936,4897.0,543729.4952222175
2656,BGD,JPN,2,2012,133355741.184,5954476703.744,4897.0,621446.9879631167
2657,BGD,JPN,2,2013,149990457.344,4919563124.736,4897.0,729284.2309379457
2658,BGD,JPN,2,2015,195078553.6,4383076253.696,4897.0,957370.1460020486
2802,BGD,KOR,1,1998,44091752.448,376481972.224,3797.0,423738.66959553957
2803,BGD,KOR,1,2000,47124926.464,561633034.24,3797.0,481245.04156839533
2804,BGD,KOR,1,2001,46987841.536,533051998.208,3797.0,540609.9727251865
2805,BGD,KOR,1,2002,47571128.32,609020084.224,3797.0,433794.20011858945
2806,BGD,KOR,1,2003,51913662.464,680520777.728,3797.0,502474.6280760897
2807,BGD,KOR,1,2004,56560742.4,764880617.472,3797.0,453477.1951199757
2808,BGD,KOR,1,2005,60277559.296,898134310.9120001,3797.0,583154.3182393931
2809,BGD,KOR,1,2006,71819091.968,1011797983.232,3797.0,664180.9183778446
2810,BGD,KOR,1,2007,79611887.616,1122675851.264,3797.0,629870.0796039238
2811,BGD,KOR,1,2008,91631280.128,1002216030.208,3797.0,936873.6976269481
2812,BGD,KOR,1,2009,102477791.232,901934940.16,3797.0,1104969.0762410634
2813,BGD,KOR,1,2010,115279077.376,1094499368.96,3797.0,1222361.3065649685
2814,BGD,KOR,1,2011,128637935.616,1202463703.04,3797.0,919111.194035287
2815,BGD,KOR,1,2012,133355741.184,1222807126.016,3797.0,1703206.6410509415
2816,BGD,KOR,1,2013,149990457.344,1304553979.904,3797.0,1495067.8286538124
2817,BGD,KOR,1,2015,195078553.6,1382763986.944,3797.0,1480558.7808058425
2818,BGD,KOR,2,1998,44091752.448,376481972.224,3797.0,16652.27298426628
2819,BGD,KOR,2,2000,47124926.464,561633034.24,3797.0,20202.937842623334
2820,BGD,KOR,2,2001,46987841.536,533051998.208,3797.0,21980.13400296122
2821,BGD,KOR,2,2002,47571128.32,609020084.224,3797.0,15211.026889493689
2822,BGD,KOR,2,2003,51913662.464,680520777.728,3797.0,23819.352984518744
2823,BGD,KOR,2,2004,56560742.4,764880617.472,3797.0,41481.31317768991
2824,BGD,KOR,2,2005,60277559.296,898134310.9120001,3797.0,43646.809613615274
2825,BGD,KOR,2,2006,71819091.968,1011797983.232,3797.0,52937.793327490675
2826,BGD,KOR,2,2007,79611887.616,1122675851.264,3797.0,106440.28219027352
2827,BGD,KOR,2,2008,91631280.128,1002216030.208,3797.0,106980.43678696454
2828,BGD,KOR,2,2009,102477791.232,901934940.16,3797.0,89440.01075358689
2829,BGD,KOR,2,2010,115279077.376,1094499368.96,3797.0,155233.06181655917
2830,BGD,KOR,2,2011,128637935.616,1202463703.04,3797.0,201357.5584074445
2831,BGD,KOR,2,2012,133355741.184,1222807126.016,3797.0,202225.17288393993
2832,BGD,KOR,2,2013,149990457.344,1304553979.904,3797.0,260895.18404234853
2833,BGD,KOR,2,2015,195078553.6,1382763986.944,3797.0,281349.3069637241
